LapNumber,Norris,Piastri
1,102.902,103.937
2,100.864,101.768
3,124.41,126.009
4,124.41,149.123
5,124.41,149.123
6,100.663,101.753
7,100.469,101.086
8,100.411,100.678
9,100.196,100.285
10,100.369,100.339
11,100.668,100.607
12,100.652,100.696
13,100.347,100.579
14,100.322,100.807
15,100.36,101.013
16,100.355,100.229
17,99.915,99.925
18,99.944,100.006
19,99.612,99.685
20,99.891,99.791
21,99.474,99.711
22,99.542,99.864
23,99.81,99.91
24,99.789,100.269
25,99.607,99.409
26,99.527,99.299
27,99.093,99.016
28,99.156,99.65
29,99.548,99.55
30,99.705,99.661
31,101.469,100.829
32,119.605,101.107
33,98.641,119.344
34,98.043,98.495
35,97.918,98.022
36,98.317,98.31
37,98.31,98.49
38,98.081,98.212
39,98.062,98.183
40,98.321,99.348
41,97.966,98.206
42,97.925,97.883
43,98.033,97.984
44,98.229,98.455
45,98.34,97.979
46,98.119,98.32
47,99.194,98.655
48,98.436,98.021
49,98.549,98.023
50,98.813,97.979
51,99.066,98.532
52,99.843,98.18
53,98.347,99.104
54,97.889,97.954
55,97.679,97.924
56,97.758,99.112
