LapNumber,Norris,Piastri
1,89.784,91.036
2,83.183,83.232
3,82.656,82.669
4,82.609,82.581
5,82.685,82.594
6,82.632,82.582
7,82.744,82.877
8,82.63,83.052
9,82.727,96.501
10,82.695,87.799
11,82.936,82.728
12,82.814,82.948
13,83.153,82.426
14,98.099,81.968
15,88.205,81.961
16,81.936,82.015
17,98.388,96.822
18,87.418,88.994
19,82.356,81.871
20,81.642,82.085
21,81.907,81.923
22,81.749,82.013
23,81.745,81.817
24,81.562,81.83
25,81.713,81.597
26,81.611,82.243
27,81.976,82.287
28,81.837,82.204
29,81.864,83.479
30,81.982,82.52
31,81.848,82.133
32,81.574,81.989
33,81.692,82.1
34,81.769,82.238
35,81.51,82.059
36,81.446,82.047
37,81.662,81.89
38,81.518,85.203
39,81.901,96.781
40,96.023,86.93
41,86.576,81.424
42,81.025,81.08
43,80.652,80.485
44,80.613,80.395
45,80.62,80.223
46,79.971,80.615
47,80.188,80.682
48,80.26,80.588
49,79.915,80.352
50,80.151,80.496
51,80.261,80.718
52,79.959,80.295
53,80.267,80.308
54,80.107,80.199
55,80.294,80.754
56,80.481,80.357
57,80.571,85.255
58,110.655,124.363
