LapNumber,Norris,Piastri
1,91.803,96.644
2,86.207,87.194
3,85.402,86.233
4,85.165,85.913
5,85.012,85.547
6,84.922,85.2
7,85.001,85.367
8,84.454,85.322
9,84.382,84.869
10,84.088,85.762
11,84.11,84.792
12,84.072,84.83
13,84.725,85.187
14,84.437,85.307
15,84.461,84.924
16,84.484,84.896
17,83.973,84.555
18,84.505,84.526
19,84.465,84.563
20,84.197,84.278
21,83.777,84.098
22,83.592,84.225
23,83.732,84.774
24,83.982,84.789
25,84.877,84.918
26,85.114,88.032
27,86.879,96.487
28,115.212,121.36
29,122.458,101.078
30,117.236,117.584
31,126.964,119.357
32,126.964,119.357
33,126.964,119.357
34,96.887,98.248
35,89.337,89.882
36,87.235,87.878
37,85.337,86.052
38,85.282,85.182
39,93.718,96.338
40,116.606,113.528
41,125.139,125.903
42,137.692,132.899
43,91.039,89.836
44,85.605,85.697
45,84.446,84.29
46,84.879,86.611
47,84.475,84.618
48,83.99,84.174
49,83.272,83.036
50,83.373,83.473
51,83.443,86.267
52,83.349,82.933
53,83.615,82.73
54,82.817,82.908
55,82.71,82.521
56,82.985,82.644
57,82.411,82.524
58,82.42,82.32
59,82.137,82.18
60,81.759,82.106
61,81.756,82.125
62,82.541,82.222
63,81.791,82.216
64,81.538,81.838
65,81.64,81.84
66,82.018,81.884
67,81.517,82.286
68,81.886,81.719
69,81.819,81.532
