LapNumber,Norris,Piastri
1,106.722,108.458
2,98.203,98.591
3,96.569,98.416
4,95.138,97.594
5,94.885,96.59
6,95.037,93.06
7,92.547,91.954
8,91.299,91.133
9,89.86,91.043
10,90.86,89.459
11,88.032,89.005
12,88.568,88.661
13,88.181,88.857
14,86.857,87.573
15,87.634,87.904
16,86.553,86.764
17,87.702,86.412
18,86.232,85.976
19,85.777,85.529
20,85.473,85.391
21,85.192,85.351
22,84.429,85.361
23,85.246,85.85
24,84.743,86.273
25,91.4,113.473
26,141.631,111.896
27,131.601,131.174
28,127.807,127.524
29,132.459,131.717
30,87.062,87.424
31,90.169,90.562
32,90.563,90.225
33,89.003,89.655
34,88.097,87.454
35,87.307,87.187
36,86.37,87.062
37,86.174,85.769
38,85.708,85.804
39,85.412,85.154
40,84.203,84.439
41,83.927,83.938
42,84.928,84.547
43,83.671,84.465
44,84.247,99.843
45,83.569,92.249
46,83.272,83.49
47,99.824,81.898
48,88.096,81.014
49,80.65,79.959
50,78.193,79.98
51,79.049,78.633
52,77.631,77.815
53,77.491,78.063
54,101.021,103.216
55,124.823,121.632
56,124.066,125.192
57,116.997,115.379
58,135.27,134.735
59,79.368,79.586
60,77.236,77.239
61,76.92,76.853
62,76.524,76.967
63,76.38,77.279
64,76.256,76.83
65,76.173,76.247
66,75.764,76.934
67,75.558,77.162
68,75.932,76.344
69,76.075,76.66
70,76.19,76.253
