LapNumber,Norris,Piastri
1,104.524,105.121
2,101.267,101.607
3,101.282,101.754
4,101.929,102.247
5,101.94,102.227
6,102.009,102.608
7,102.403,102.376
8,101.756,102.627
9,101.688,102.976
10,101.695,102.658
11,101.828,103.456
12,102.007,102.975
13,101.805,102.871
14,101.656,103.139
15,102.04,102.645
16,101.795,107.643
17,101.7,119.282
18,101.994,99.739
19,102.658,100.632
20,102.167,100.478
21,103.566,112.541
22,138.646,135.352
23,148.677,132.376
24,146.575,137.575
25,145.105,145.072
26,108.631,114.121
27,108.631,114.121
28,149.965,149.005
29,147.449,145.655
30,139.874,141.071
31,148.01,144.001
32,98.957,101.017
33,98.751,100.725
34,99.022,100.748
35,99.094,100.397
36,99.166,101.5
37,99.3,101.45
38,99.28,100.946
39,99.501,101.496
40,99.854,101.119
41,99.721,101.621
42,100.701,101.01
43,99.932,100.876
44,99.435,101.004
45,99.437,101.301
46,99.718,101.294
47,100.113,101.45
48,99.646,101.437
49,99.716,102.046
50,100.177,101.297
51,99.949,101.331
52,99.944,101.602
53,100.208,101.471
54,100.217,101.647
55,100.686,101.45
56,100.284,101.61
