LapNumber,Norris,Piastri
1,83.764,85.726
2,80.673,81.311
3,80.884,80.808
4,81.205,81.377
5,81.046,81.269
6,80.909,81.307
7,80.923,81.08
8,80.997,81.523
9,81.052,81.508
10,81.272,81.586
11,81.201,81.191
12,81.438,82.11
13,81.735,81.888
14,81.716,81.653
15,81.666,81.679
16,81.523,81.734
17,81.565,81.912
18,81.617,81.867
19,81.793,82.042
20,81.883,81.853
21,81.855,82.212
22,86.107,81.869
23,104.693,86.22
24,80.468,103.264
25,80.977,79.907
26,80.899,80.577
27,81.029,80.785
28,81.077,80.599
29,80.933,80.313
30,80.72,80.578
31,80.628,80.728
32,80.923,80.839
33,80.764,80.701
34,80.776,80.96
35,80.687,80.913
36,80.656,80.684
37,80.714,80.587
38,80.458,80.499
39,80.591,80.801
40,81.025,81.001
41,81.102,80.966
42,80.828,81.122
43,80.838,81.333
44,80.708,80.843
45,80.339,80.888
46,80.546,81.038
47,80.816,81.485
48,80.803,81.416
49,80.485,81.309
50,80.039,80.979
51,80.367,81.203
52,80.582,80.777
53,80.141,80.699
54,79.994,80.413
55,80.182,80.394
56,80.168,80.44
57,80.105,80.602
58,80.555,80.698
59,80.489,80.288
60,80.239,80.649
61,80.502,80.982
62,80.564,80.599
63,80.743,80.8
