LapNumber,Norris,Piastri
1,97.347,98.008
2,92.188,92.361
3,91.991,91.927
4,91.976,91.919
5,91.716,91.832
6,91.896,92.062
7,92.071,91.925
8,92.018,91.994
9,91.976,92
10,91.83,91.811
11,91.748,91.855
12,91.718,91.663
13,91.472,91.896
14,91.407,91.697
15,90.946,91.514
16,91.69,92.118
17,94.304,93.988
18,94.125,94.269
19,101.436,100.728
20,97.704,97.348
21,91.513,91.819
22,90.86,91.169
23,91.176,90.976
24,91.629,91.392
25,94.307,94.271
26,101.515,100.622
27,104.806,109.747
28,120.915,112.976
29,100.266,121.184
30,100.717,100.492
31,101.313,102.161
32,102.216,103.137
33,102.607,103.325
34,103.078,103.954
35,102.935,103.309
36,102.34,102.52
37,99.786,99.635
38,97.999,97.106
39,96.746,114.658
40,114.84,89.913
41,89.733,89.574
42,90.006,89.581
43,89.262,89.286
44,89.752,89.221
45,89.635,89.222
46,89.96,89.233
47,89.838,89.049
48,90.556,89.124
49,90.515,89.283
50,90.544,89.958
51,90.769,88.748
52,90.913,89.928
