LapNumber,Norris,Piastri
1,89.389,86.746
2,84.24,84.038
3,84.393,84.401
4,83.627,84.115
5,83.804,83.796
6,84.045,83.846
7,84.085,84.11
8,84.027,83.892
9,84.225,84.206
10,84.508,84.257
11,84.245,84.062
12,84.042,83.893
13,84.343,83.887
14,84.367,84.683
15,84.334,84.299
16,84.296,84.237
17,86.485,84.248
18,101.807,86.496
19,83.779,102.479
20,83.455,83.603
21,83.663,83.474
22,83.514,83.267
23,83.419,83.102
24,83.354,83.095
25,83.064,82.962
26,83.013,82.654
27,82.872,82.747
28,82.861,82.79
29,82.82,82.704
30,83.323,83.041
31,83.247,83.172
32,83.456,83.397
33,83.992,85.863
34,84.154,84.729
35,84.2,84.557
36,84.096,84.193
37,84.254,84.384
38,84.154,84.171
39,84.186,84.24
40,84.08,83.76
41,84.189,83.95
42,84.001,84.071
43,84.063,84.2
44,84.43,84.033
45,86.328,84.104
46,98.951,84.211
47,83.29,86.252
48,81.954,101.384
49,82.109,82.39
50,81.712,81.863
51,81.976,81.716
52,82.429,81.861
53,81.89,82.367
54,81.819,82.161
55,82.171,81.858
56,82.171,82.191
57,82.222,82.505
58,81.931,82.431
59,82.219,82.008
60,81.798,82.542
61,81.886,82.06
62,81.883,82.157
63,82.602,82.459
64,82.469,83.06
65,82.481,82.771
66,82.62,82.645
67,85.666,82.62
68,86.787,82.999
69,82.862,82.597
70,84.003,82.927
