LapNumber,Norris,Piastri
1,134.751,144.356
2,134.751,144.356
3,96.853,97.734
4,96.853,97.734
5,96.86,97.631
6,97.9,98.141
7,97.742,98.191
8,97.824,98.222
9,97.963,98.5
10,98.158,99.011
11,100.76,99.245
12,115.643,101.083
13,95.761,118.558
14,96.777,97.675
15,96.788,97.377
16,98.241,97.058
17,97.807,96.747
18,96.487,96.822
19,96.783,96.782
20,96.847,96.984
21,96.996,97.416
22,98.888,98.625
23,98.213,98.919
24,97.722,97.175
25,97.558,97.776
26,100.917,97.364
27,116.621,97.389
28,95.721,97.438
29,96.258,97.771
30,96.243,97.946
31,96.225,97.845
32,96.375,99.482
33,96.34,115.493
34,96.262,95.255
35,96.614,94.802
36,95.896,95.128
37,96.412,95.4
38,95.883,95.267
39,95.706,96.036
40,96.249,95.888
41,95.229,95.545
42,96.217,97.548
43,95.92,95.841
44,96.391,95.539
45,96.224,95.648
46,95.635,95.755
47,95.633,95.891
48,95.677,95.898
49,95.354,96.179
50,95.268,96.228
51,95.186,95.429
52,95.832,96.164
53,95.721,96.611
