LapNumber,Norris,Piastri
1,109.304,133.443
2,138.718,138.05
3,133.243,136.567
4,131.1,130.001
5,129.824,130.449
6,121.27,103.384
7,81.885,83.677
8,81.724,83.399
9,82.413,82.797
10,84.863,82.793
11,82.047,83.793
12,81.803,83.449
13,81.935,83.074
14,81.988,84.172
15,82.146,84.244
16,81.981,82.898
17,82.332,82.946
18,82.271,83.693
19,82.393,83.648
20,82.352,84.004
21,82.137,83.88
22,82.311,82.825
23,82.29,82.68
24,82.062,82.605
25,82.535,82.231
26,82.63,82.664
27,82.185,82.905
28,82.676,83.084
29,82.735,82.782
30,86.051,82.677
31,99.899,82.797
32,81.052,83.101
33,80.859,83.935
34,80.881,83.015
35,80.697,83.364
36,80.703,82.59
37,81.008,82.667
38,80.868,82.312
39,80.71,85.068
40,80.845,99.719
41,80.768,80.371
42,80.451,81.367
43,80.687,82.545
44,80.385,80.597
45,80.37,81.068
46,80.221,81.164
47,80.561,83.905
48,80.443,80.434
49,80.638,80.799
50,80.545,80.569
51,80.405,80.433
52,80.474,80.234
53,80.471,80.27
54,80.667,80.605
55,80.398,81
56,80.509,80.206
57,80.271,80.444
58,80.405,80.268
59,80.163,80.359
60,80.272,80.385
61,80.045,80.53
62,80.141,80.472
63,79.858,81.016
64,80.494,80.162
65,80.194,80.064
66,80.274,80.264
67,79.972,80.572
68,79.691,80.271
69,79.922,80.891
70,79.721,80.55
71,80.363,81.531
