LapNumber,Norris,Piastri
1,82.314,82.782
2,82.314,82.782
3,85.283,84.953
4,82.782,82.314
5,82.147,82.019
6,81.804,81.354
7,80.828,80.808
8,80.82,81.058
9,80.397,79.906
10,80.972,80.89
11,80.87,80.898
12,79.933,80.135
13,79.82,78.745
14,79.385,80.014
15,79.775,80.264
16,79.637,79.829
17,80.337,80.028
18,79.398,79.832
19,79.28,79.179
20,79.043,79.055
21,78.983,78.601
22,78.981,78.585
23,79.194,78.658
24,78.699,78.636
25,78.64,78.784
26,78.396,78.44
27,78.72,78.523
28,79.238,78.791
29,78.766,79.01
30,78.403,79.396
31,78.78,78.449
32,79.538,78.969
33,79.233,79.06
34,79.243,78.978
35,78.714,78.605
36,78.582,78.882
37,77.958,78.612
38,77.994,78.731
39,78.303,78.362
40,78.824,78.951
41,78.519,78.846
42,79.436,79.795
43,79.796,78.198
44,78.906,78.277
45,77.897,78.082
46,78.215,78.623
47,78.141,78.399
48,77.975,78.395
49,78.177,78.136
50,78.218,78.35
51,77.772,77.909
52,78.223,78.214
53,77.57,77.609
54,77.838,77.362
55,78.382,77.445
56,78.155,77.456
57,77.815,77.3
58,77.395,77.344
59,77.122,77.042
60,76.695,76.617
61,77.614,76.771
62,76.026,77.095
63,76.876,76.921
64,75.742,76.909
65,77.143,76.391
66,76.214,76.64
67,76.115,76.596
68,76.172,76.601
69,76.314,77.371
70,77.213,77.27
71,76.609,77.184
72,76.801,76.652
73,76.285,76.281
74,76.429,76.356
75,76.517,76.644
76,76.671,76.59
77,76.512,76.734
78,77.296,77.126
