LapNumber,Norris,Piastri
1,91.142,94.252
2,108.349,121.916
3,103.313,94.86
4,89.01,92.201
5,89.104,110.887
6,89.361,88.95
7,89.024,89.152
8,88.86,89.482
9,89.007,89.553
10,89.244,89.669
11,89.128,89.317
12,89.084,89.841
13,89.272,89.567
14,89.039,89.319
15,89.07,89.895
16,88.951,89.904
17,88.955,89.659
18,89.222,89.607
19,89.139,90.058
20,89.213,90.191
21,89.133,90.277
22,89.189,90.173
23,89.262,89.661
24,89.484,89.79
25,89.21,89.894
26,91.567,89.669
27,107.513,89.631
28,88.325,90.036
29,88.439,89.735
30,88.235,89.907
31,88.362,90.169
32,88.414,91.627
33,88.126,120.448
34,88.108,88.576
35,87.974,88.193
36,87.875,87.931
37,88.076,88.469
38,87.907,88.238
39,87.76,88.206
40,87.707,88.325
41,87.857,88.112
42,88.162,88.067
43,88.002,88.052
44,87.962,88.497
45,88.055,90.015
46,88.078,89.677
47,88.237,89.671
48,88.205,88.407
49,88.371,87.928
50,88.128,87.705
51,87.867,87.69
52,87.438,88.491
53,87.52,88.168
54,88.124,87.731
55,87.647,87.781
56,87.698,87.816
57,87.929,88.554
58,89.858,88.01
