LapNumber,Norris,Piastri
1,73.371,76.95
2,69.813,70.541
3,70.528,70.743
4,70.389,70.81
5,70.424,70.607
6,70.329,71.246
7,70.539,71.094
8,70.512,71.351
9,70.446,71.024
10,71.751,71.369
11,70.844,71.394
12,70.885,71.153
13,71.064,71.3
14,71.103,71.424
15,71.004,71.665
16,71.333,71.484
17,71.149,71.535
18,71.258,71.577
19,71.658,71.753
20,71.288,71.741
21,71.407,71.86
22,71.229,71.366
23,75.037,71.224
24,88.259,71.335
25,69.434,74.343
26,69.692,87.077
27,69.68,70.295
28,69.716,70.276
29,69.604,69.985
30,69.851,70.423
31,70.1,69.994
32,69.919,69.767
33,69.4,69.516
34,69.755,69.779
35,69.908,70.238
36,70.106,70.298
37,69.883,70.176
38,70.161,70.401
39,70.388,70.57
40,70.102,70.649
41,70.441,70.729
42,70.47,71.252
43,70.141,70.772
44,70.777,71.217
45,70.171,70.617
46,70.411,70.562
47,70.73,71.024
48,70.774,70.578
49,70.444,70.661
50,70.546,70.517
51,74.573,73.906
52,85.763,85.352
53,68.016,69.088
54,68.429,69.014
55,69.348,68.837
56,68.77,68.697
57,68.751,69.048
58,69.161,69.441
59,70.626,69.627
60,69.356,69.616
61,70.037,69.487
62,69.509,69.634
63,70.234,69.986
64,120.257,69.948
65,,70.14
66,,87.032
67,,69.532
68,,69.241
69,,69.159
70,,69.989
71,,69.668
