LapNumber,Norris,Piastri
1,123.761,112.903
2,111.638,108.944
3,110.219,108.811
4,109.767,108.408
5,109.386,108.07
6,109.509,108.848
7,109.104,108.755
8,109.281,108.297
9,108.811,108.225
10,108.978,108.601
11,108.556,108.304
12,108.887,108.948
13,109.033,109.194
14,108.92,109.577
15,110.169,113.511
16,109.329,123.253
17,108.709,108.556
18,109.231,107.817
19,109.082,107.465
20,109.473,108.866
21,108.888,107.854
22,108.935,107.751
23,109.749,107.481
24,110.053,107.066
25,108.579,107.408
26,108.942,107.528
27,109.141,107.368
28,109.045,107.558
29,109.267,107.601
30,108.91,107.661
31,108.802,107.923
32,107.933,108.135
33,107.947,108.436
34,107.534,107.927
35,107.667,107.821
36,107.509,107.873
37,111.037,107.857
38,122.491,107.682
39,105.662,107.776
40,105.842,107.721
41,106.104,107.875
42,105.255,107.688
43,105.432,107.616
44,105.591,107.365
45,105.863,107.727
46,105.886,107.269
47,106.051,107.06
48,106.143,107.488
49,105.626,107.547
50,124.244,107.258
51,124.244,107.258
