LapNumber,Norris,Piastri
1,115.727,114.248
2,110.504,110.164
3,110.131,109.971
4,110.012,109.847
5,110.155,110.085
6,110.201,109.963
7,110.072,110.03
8,110.298,110.062
9,110.298,110.481
10,110.334,110.045
11,110.009,114.271
12,109.724,123.103
13,109.963,107.565
14,109.567,108.239
15,113.928,108.07
16,121.761,108.355
17,107.522,108.473
18,108.143,108.153
19,108.049,108.233
20,108.132,108.175
21,108.263,108.376
22,108.18,108.179
23,108.464,108.352
24,108.356,108.163
25,108.098,107.98
26,107.669,107.519
27,107.515,107.024
28,107.537,107.609
29,111.781,107.653
30,120.262,111.738
31,105.563,121.424
32,106.217,105.84
33,106.655,106.265
34,106.588,106.528
35,106.775,108.312
36,106.806,107.179
37,107.461,107.136
38,107.096,106.648
39,107.128,106.445
40,107.218,106.409
41,107.238,106.39
42,107.291,106.262
43,107.406,106.621
44,106.793,106.628
