LapNumber,Norris,Piastri
1,88.971,87.623
2,85.458,85.116
3,85.11,85.261
4,85.168,84.695
5,84.674,84.66
6,84.768,84.603
7,84.531,84.418
8,84.674,84.57
9,84.664,84.375
10,84.391,84.077
11,84.448,84.247
12,84.655,84.748
13,85.359,84.67
14,89.417,85.048
15,103.84,85.166
16,84.154,89.939
17,85.585,104.25
18,83.92,84.028
19,84.152,84.602
20,83.882,83.986
21,83.753,83.903
22,83.652,83.647
23,83.581,83.66
24,83.601,83.315
25,83.321,83.23
26,83.469,83.133
27,83.267,83.088
28,83.067,83.168
29,83.3,83.066
30,83.614,82.968
31,84.94,83.221
32,87.414,83.48
33,104.073,83.148
34,82.837,83.456
35,83.137,83.409
36,83.114,83.746
37,83.178,83.691
38,83.133,88.125
39,83.061,103.438
40,84.162,82.264
41,82.234,82.066
42,82.678,82.331
43,82.25,82.092
44,82.403,82.628
45,82.398,83.675
46,82.041,82.537
47,83.852,82.253
48,81.824,82.725
49,82.436,82.945
50,83.266,82.586
51,82.269,82.424
52,82.302,81.948
53,81.432,81.943
