LapNumber,Norris,Piastri
1,106.792,108.433
2,99.907,100.495
3,99.197,99.144
4,99.094,99.226
5,99.49,99.01
6,98.848,99.097
7,99.716,100.118
8,100.573,100.351
9,105.24,101.986
10,114.247,105.43
11,97.795,121.018
12,99.909,98.137
13,100.365,97.942
14,99.798,98.85
15,98.236,98.556
16,98.165,99.691
17,99.928,99.28
18,98.152,98.127
19,98.232,98.439
20,98.166,98.301
21,98.14,98.458
22,98.444,99.05
23,98.283,98.849
24,98.434,99.168
25,98.529,103.929
26,98.819,114.146
27,98.795,97.906
28,98.892,98.108
29,99.05,97.582
30,104.646,98.11
31,113.261,98.356
32,97.649,98.495
33,97.886,98.689
34,97.587,97.841
35,97.355,97.431
36,96.845,97.201
37,96.473,96.74
38,96.447,97.607
39,96.237,97.144
40,95.843,97.586
41,95.983,97.188
42,95.601,97.295
43,95.876,97.097
44,95.527,96.598
45,96.363,97.089
46,96.006,97.047
47,96.445,97.122
48,100.9,97.847
49,112.312,97.752
50,94.876,98.272
