LapNumber,Norris,Piastri
1,98.919,96.848
2,94.199,92.827
3,93.687,93.063
4,93.674,93.119
5,93.26,93.321
6,93.172,92.878
7,93.165,93.355
8,92.999,93.067
9,93.429,93.092
10,93.23,93.592
11,93.432,93.262
12,93.427,93.083
13,93.502,93.162
14,93.764,93.183
15,93.472,92.767
16,93.191,92.785
17,93.463,93.084
18,93.15,92.975
19,92.476,93.109
20,92.421,92.63
21,92.329,92.93
22,92.517,92.716
23,106.891,107.104
24,91.982,92.455
25,92.171,92.453
26,92.153,92.656
27,92.162,97.602
28,92.042,115.479
29,133.364,142.836
30,138.015,125.882
31,117.513,102.757
32,117.513,102.757
33,91.157,93.248
34,91.289,92.143
35,91.391,91.372
36,91.133,92.202
37,91.074,92.035
38,91.134,91.673
39,91.192,92.617
40,91.222,100.795
41,91.059,113.723
42,91.34,90.643
43,91.066,90.634
44,91.18,90.752
45,91.068,91.286
46,91.352,91.08
47,91.423,91.641
48,91.135,91.828
49,91.177,91.95
50,91.227,92.375
51,91.08,92.849
52,91.244,93.862
53,91.251,92.61
54,91.276,91.932
55,90.98,91.665
56,91.04,92.054
57,91.575,92.15
