LapNumber,Norris,Piastri
1,80.878,82.638
2,76.134,76.24
3,76.496,76.264
4,76.304,76.678
5,76.271,76.76
6,76.225,76.528
7,76.395,76.954
8,76.169,76.659
9,76.477,76.817
10,76.292,76.512
11,76.303,76.52
12,76.2,76.463
13,76.242,76.514
14,76.47,76.471
15,76.227,76.382
16,75.689,76.384
17,76.085,76.348
18,76.066,76.493
19,75.899,76.515
20,76.043,76.331
21,75.729,76.534
22,75.796,76.847
23,75.784,76.723
24,75.692,76.798
25,75.709,76.408
26,75.873,76.062
27,75.744,75.937
28,79.241,75.932
29,95.15,76.067
30,74.571,76.089
31,74.391,76.582
32,74.476,76.214
33,74.489,79.492
34,74.491,94.573
35,74.474,74.937
36,74.312,74.237
37,74.724,74.308
38,74.557,74.491
39,74.707,74.43
40,74.639,74.613
41,75.01,74.536
42,75.205,74.44
43,74.791,74.677
44,74.577,74.564
45,74.831,74.574
46,74.603,74.597
47,74.892,75.257
48,74.776,75.154
49,74.911,75.414
50,74.575,75.325
51,74.832,75.165
52,74.687,75.116
53,74.738,75.34
54,74.468,75.002
55,74.599,75.305
56,74.816,75.079
57,74.867,75.088
58,75.098,75.072
59,74.979,75.052
60,74.518,74.991
61,75.046,75.012
62,75.008,74.832
63,74.31,74.965
64,74.858,74.932
65,74.786,75.052
66,74.624,74.639
67,74.688,74.975
68,74.66,74.777
69,74.657,75.083
70,74.871,75.014
71,75.007,74.99
72,73.817,75.092
