LapNumber,Norris,Piastri
1,113.635,118.513
2,141.28,142.913
3,137.622,137.707
4,137.622,145.626
5,87.175,87.603
6,86.683,87.02
7,86.5,86.851
8,86.668,86.322
9,86.344,86.464
10,85.972,86.169
11,85.985,86.382
12,85.813,86.288
13,85.794,86.035
14,85.924,86.056
15,85.535,85.803
16,85.508,86.474
17,85.39,86.031
18,85.253,85.703
19,85.276,85.494
20,85.017,85.517
21,84.997,85.366
22,84.865,85.218
23,84.977,85.634
24,84.67,84.75
25,84.721,84.897
26,84.537,84.898
27,84.861,84.727
28,84.751,84.71
29,84.915,84.761
30,84.556,85.129
31,84.794,84.883
32,84.65,84.894
33,84.96,85.284
34,84.562,89.34
35,93.654,127.624
36,93.654,128.14
37,93.654,128.14
38,149.162,148.28
39,144.447,141.872
40,99.808,103.378
41,137.19,135.81
42,148.012,145.878
43,84.627,86.116
44,83.473,84.301
45,87.666,83.98
46,112.677,83.909
47,82.936,83.568
48,82.64,83.624
49,82.822,83.623
50,84.692,83.625
51,85.197,83.218
52,82.928,83.478
53,85.089,83.523
54,82.471,83.37
55,82.994,83.269
56,82.384,83.313
57,83.271,83.241
