LapNumber,Norris,Piastri
1,100.424,105.268
2,98.48,98.939
3,98.406,99.35
4,98.446,99.356
5,97.938,98.667
6,97.843,98.778
7,97.621,98.419
8,97.082,97.873
9,96.715,98.446
10,96.83,98.429
11,96.651,98.269
12,96.495,98.151
13,96.67,98.215
14,96.832,97.651
15,96.758,98.435
16,96.624,98.088
17,97.008,98.532
18,97.068,98.188
19,97.282,98.749
20,96.887,98.317
21,97.198,98.275
22,97.115,98.415
23,97.212,98.262
24,97.527,98.403
25,97.404,98.516
26,97.26,98.839
27,97.603,98.644
28,97.528,97.7
29,101.878,97.944
30,107.073,98.29
31,118.408,98.149
32,97.034,98.194
33,96.684,98.288
34,96.714,98.038
35,96.524,98.322
36,96.216,98.147
37,96.435,98.437
38,96.71,106.395
39,97.325,117.551
40,97.194,96.61
41,96.57,96.265
42,96.404,95.888
43,96.61,96.167
44,96.275,97.363
45,96.928,97.258
46,95.953,96.324
47,96.567,96.33
48,94.925,95.745
49,96.06,95.881
50,96.311,98.31
51,96.603,97.269
52,96.192,96.856
53,96.435,97.406
54,96.749,96.841
55,96.786,95.995
56,97.197,96.355
57,98.849,96.07
58,97.734,96.056
59,96.948,97.009
60,96.631,97.191
61,96.82,97.407
62,97.922,96.869
