LapNumber,Norris,Piastri
1,83.953,87.073
2,80.215,81.607
3,80.243,80.765
4,80.702,80.797
5,81.134,81.215
6,81.056,81.056
7,81.293,81.416
8,81.443,81.53
9,81.143,81.5
10,81.223,82.049
11,81.285,81.486
12,81.354,81.683
13,81.432,81.918
14,81.66,82.316
15,81.541,81.492
16,80.471,81.532
17,80.908,81.853
18,80.447,81.505
19,80.635,81.727
20,80.816,81.883
21,80.907,87.064
22,80.928,99.096
23,85.185,79.833
24,97.673,79.991
25,78.503,79.731
26,79.856,79.853
27,79.317,80.231
28,79.835,80.626
29,79.72,79.823
30,79.389,80.01
31,80.145,79.875
32,79.868,80.425
33,80.09,80.543
34,79.855,79.656
35,80.478,79.796
36,79.447,79.728
37,79.225,79.661
38,79.307,79.785
39,79.215,79.78
40,79.745,79.659
41,78.911,79.622
42,79.511,79.93
43,79.499,80.15
44,79.457,79.925
45,78.754,80.667
46,79.419,84.084
47,82.986,97.819
48,97.126,79.317
49,77.377,78.159
50,77.94,78.257
51,77.115,78.181
52,77.654,78.492
53,77.914,78.223
54,77.987,78.354
55,78.363,77.941
56,77.627,77.874
57,77.893,78.293
58,78.259,78.483
59,77.945,78.337
60,78.271,78.129
61,77.805,77.977
62,78.08,78.186
63,78.174,78.587
64,78.282,78.84
65,78.773,79.297
66,79.682,79.294
